Current,Voc,V_err
300,0.013857992,0.001285546152363267
320,0.5136186,0.0010090951392212634
340,0.65749586,9.502834524500637e-05
360,0.7462409200000001,0.00019383522280532733
380,0.8500843400000001,5.229900955083155e-05
400,0.9097275400000001,7.18179253390165e-05
420,0.9489505599999999,4.431435884676802e-05
440,0.9716621999999999,4.5416516819345404e-05
460,0.9885522999999999,0.00011083838685223071
480,1.0030652,9.075108814773819e-05
500,1.015342,0.0001058054818995617
520,1.0258514,8.150239260290164e-05
540,1.0363229999999999,3.2918080138473886e-05
560,1.0450834,3.910294106589444e-05
580,1.0531153999999998,4.069692863104793e-05
600,1.0603094,3.434297599222123e-05
620,1.0666828,8.819841268411594e-05
640,1.0728206,5.318119968557808e-05
660,1.077679,1.5760710643867545e-05
680,1.0823944,6.560487786716082e-06
700,1.086436,5.531365111801133e-05
720,1.0918404,6.315568066295668e-05
740,1.0959736,1.578100123564862e-05
760,1.0964966,1.1926441212715738e-05
780,1.1026432,3.8618130457037366e-05
