in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
5.44379e-05,0.0192109,0.000739876,0.405397,0.000854556,0.417299
5.49259e-05,0.0192109,0.000739399,0.405367,0.000854257,0.417299
5.544e-05,0.019209,0.000739101,0.405336,0.0008539,0.417269
5.56859e-05,0.019209,0.00073928,0.405306,0.000853959,0.417269
5.56635e-05,0.019209,0.000739757,0.405275,0.000854257,0.417238
5.5589e-05,0.019209,0.000739519,0.405275,0.00085384,0.417208
5.54624e-05,0.0192071,0.000738982,0.405245,0.000853065,0.417208
5.54996e-05,0.0192071,0.000738863,0.405245,0.000852946,0.417177
5.59764e-05,0.0192071,0.00073928,0.405214,0.000853244,0.417147
5.65725e-05,0.0192071,0.000739399,0.405214,0.000853363,0.417147
